Date;256 - Long term interest rate (TJLP) - % p.y.;433 - Broad National Consumer Price Index (IPCA) - Monthly % var.;4189 - Interest rate - Selic accumulated in the month in annual terms (basis 252) - % p.y.;4380 - GDP monthly - current prices (R$ million) - R$ (million);24352 - Capacity utilization – manufacturing industry (FGV) - %
01/2012;6.00 ;0.56 ;10.70 ;364,190.6 ;80.60
02/2012;6.00 ;0.45 ;10.40 ;367,525.1 ;81.90
03/2012;6.00 ;0.21 ;9.82 ;397,758.3 ;80.90
04/2012;6.00 ;0.64 ;9.35 ;385,880.0 ;80.80
05/2012;6.00 ;0.36 ;8.87 ;401,862.3 ;81.80
06/2012;6.00 ;0.08 ;8.39 ;395,383.3 ;81.60
07/2012;5.50 ;0.43 ;8.07 ;409,021.0 ;81.80
08/2012;5.50 ;0.41 ;7.85 ;418,752.0 ;83.00
09/2012;5.50 ;0.57 ;7.39 ;402,675.8 ;83.00
10/2012;5.50 ;0.59 ;7.23 ;431,405.6 ;84.00
11/2012;5.50 ;0.60 ;7.14 ;426,600.5 ;84.00
12/2012;5.50 ;0.79 ;7.16 ;413,705.5 ;84.10
01/2013;5.00 ;0.86 ;7.11 ;408,889.9 ;80.50
02/2013;5.00 ;0.60 ;7.12 ;398,093.8 ;81.80
03/2013;5.00 ;0.47 ;7.15 ;434,630.4 ;81.20
04/2013;5.00 ;0.55 ;7.26 ;446,505.2 ;81.00
05/2013;5.00 ;0.37 ;7.42 ;441,335.5 ;81.90
06/2013;5.00 ;0.26 ;7.90 ;434,739.7 ;82.30
07/2013;5.00 ;0.03 ;8.23 ;452,597.6 ;82.30
08/2013;5.00 ;0.24 ;8.45 ;453,781.6 ;83.00
09/2013;5.00 ;0.35 ;8.90 ;447,754.9 ;83.10
10/2013;5.00 ;0.57 ;9.25 ;475,713.6 ;84.20
11/2013;5.00 ;0.54 ;9.45 ;470,324.6 ;85.10
12/2013;5.00 ;0.92 ;9.90 ;467,252.3 ;84.00
01/2014;5.00 ;0.55 ;10.17 ;453,278.2 ;81.00
02/2014;5.00 ;0.69 ;10.43 ;455,501.0 ;82.00
03/2014;5.00 ;0.92 ;10.65 ;477,200.1 ;81.50
04/2014;5.00 ;0.67 ;10.87 ;479,722.1 ;80.80
05/2014;5.00 ;0.46 ;10.90 ;481,273.6 ;81.30
06/2014;5.00 ;0.40 ;10.90 ;461,324.5 ;81.10
07/2014;5.00 ;0.01 ;10.90 ;486,897.2 ;80.10
08/2014;5.00 ;0.25 ;10.90 ;483,775.5 ;80.80
09/2014;5.00 ;0.57 ;10.90 ;491,452.9 ;81.40
10/2014;5.00 ;0.42 ;10.92 ;509,006.4 ;81.50
11/2014;5.00 ;0.51 ;11.15 ;498,524.4 ;82.60
12/2014;5.00 ;0.78 ;11.58 ;500,997.3 ;80.40
01/2015;5.50 ;1.24 ;11.82 ;474,617.1 ;77.60
02/2015;5.50 ;1.22 ;12.15 ;466,605.0 ;78.60
03/2015;5.50 ;1.32 ;12.58 ;515,444.3 ;77.30
04/2015;6.00 ;0.71 ;12.68 ;497,054.2 ;76.40
05/2015;6.00 ;0.74 ;13.15 ;492,361.5 ;76.00
06/2015;6.00 ;0.79 ;13.58 ;490,561.2 ;75.30
07/2015;6.50 ;0.62 ;13.69 ;507,441.2 ;74.50
08/2015;6.50 ;0.22 ;14.15 ;501,244.9 ;75.30
09/2015;6.50 ;0.54 ;14.15 ;499,542.0 ;75.70
10/2015;7.00 ;0.82 ;14.15 ;521,317.9 ;76.50
11/2015;7.00 ;1.01 ;14.15 ;513,543.1 ;76.80
12/2015;7.00 ;0.96 ;14.15 ;516,054.4 ;76.40
01/2016;7.50 ;1.27 ;14.15 ;482,137.0 ;72.40
02/2016;7.50 ;0.90 ;14.15 ;490,240.6 ;73.50
03/2016;7.50 ;0.43 ;14.15 ;527,890.7 ;72.60
04/2016;7.50 ;0.61 ;14.15 ;520,718.7 ;73.20
05/2016;7.50 ;0.78 ;14.15 ;516,573.3 ;73.10
06/2016;7.50 ;0.35 ;14.15 ;521,726.8 ;73.40
07/2016;7.50 ;0.52 ;14.15 ;521,988.2 ;73.50
08/2016;7.50 ;0.44 ;14.15 ;530,830.6 ;73.90
09/2016;7.50 ;0.08 ;14.15 ;524,351.2 ;75.40
10/2016;7.50 ;0.26 ;14.05 ;539,676.9 ;75.20
11/2016;7.50 ;0.18 ;13.90 ;546,075.0 ;76.20
12/2016;7.50 ;0.30 ;13.65 ;547,119.0 ;74.00
01/2017;7.50 ;0.38 ;13.17 ;513,624.0 ;73.20
02/2017;7.50 ;0.33 ;12.82 ;511,191.4 ;73.70
03/2017;7.50 ;0.25 ;12.15 ;560,990.9 ;73.30
04/2017;7.00 ;0.14 ;11.59 ;537,664.6 ;73.40
05/2017;7.00 ;0.31 ;11.15 ;550,872.8 ;74.00
06/2017;7.00 ;-0.23 ;10.15 ;542,315.2 ;73.60
07/2017;7.00 ;0.24 ;10.01 ;548,372.0 ;74.00
08/2017;7.00 ;0.19 ;9.15 ;556,053.9 ;74.20
09/2017;7.00 ;0.16 ;8.35 ;544,209.1 ;74.90
10/2017;7.00 ;0.42 ;8.01 ;568,554.5 ;76.00
11/2017;7.00 ;0.28 ;7.40 ;574,027.0 ;76.60
12/2017;7.00 ;0.44 ;7.00 ;577,603.8 ;75.90
01/2018;6.75 ;0.29 ;6.90 ;552,369.9 ;73.30
02/2018;6.75 ;0.32 ;6.72 ;539,860.6 ;75.20
03/2018;6.75 ;0.09 ;6.58 ;589,348.3 ;75.10
04/2018;6.60 ;0.22 ;6.40 ;587,474.3 ;75.50
05/2018;6.60 ;0.40 ;6.40 ;562,013.0 ;75.90
06/2018;6.60 ;1.26 ;6.40 ;584,175.6 ;75.60
07/2018;6.56 ;0.33 ;6.40 ;592,083.6 ;75.10
08/2018;6.56 ;-0.09 ;6.40 ;599,142.8 ;76.00
09/2018;6.56 ;0.48 ;6.40 ;576,647.4 ;77.70
10/2018;6.98 ;0.45 ;6.40 ;612,390.1 ;77.90
11/2018;6.98 ;-0.21 ;6.40 ;608,050.3 ;77.30
12/2018;6.98 ;0.15 ;6.40 ;600,585.1 ;75.70
01/2019;7.03 ;0.32 ;6.40 ;579,036.8 ;72.70
02/2019;7.03 ;0.43 ;6.40 ;577,107.6 ;74.10
03/2019;7.03 ;0.75 ;6.40 ;603,168.2 ;73.60
04/2019;6.26 ;0.57 ;6.40 ;614,367.0 ;73.50
05/2019;6.26 ;0.13 ;6.40 ;616,644.7 ;74.80
06/2019;6.26 ;0.01 ;6.40 ;597,752.5 ;74.50
07/2019;5.95 ;0.19 ;6.40 ;632,349.5 ;74.90
08/2019;5.95 ;0.11 ;5.90 ;629,467.1 ;75.90
09/2019;5.95 ;-0.04 ;5.71 ;618,815.3 ;76.50
10/2019;5.57 ;0.10 ;5.38 ;649,695.6 ;77.50
11/2019;5.57 ;0.51 ;4.90 ;637,072.6 ;77.30
12/2019;5.57 ;1.15 ;4.59 ;633,654.2 ;76.00
01/2020;5.09 ;0.21 ;4.40 ;607,534.2 ;74.00
02/2020;5.09 ;0.25 ;4.19 ;610,895.3 ;75.60
03/2020;5.09 ;0.07 ;3.95 ;627,132.0 ;74.20
04/2020;4.94 ;-0.31 ;3.65 ;559,400.5 ;56.50
05/2020;4.94 ;-0.38 ;3.01 ;567,325.5 ;59.90
06/2020;4.94 ;0.26 ;2.58 ;595,722.4 ;66.10
07/2020;4.91 ;0.36 ;2.15 ;629,960.0 ;71.80
08/2020;4.91 ;0.24 ;1.94 ;623,322.8 ;75.50
09/2020;4.91 ;0.64 ;1.90 ;634,959.4 ;79.30
10/2020;4.55 ;0.86 ;1.90 ;661,139.1 ;81.70
11/2020;4.55 ;0.89 ;1.90 ;665,182.8 ;81.80
12/2020;4.55 ;1.35 ;1.90 ;685,042.6 ;80.20
01/2021;4.39 ;0.25 ;1.90 ;654,436.5 ;78.10
02/2021;4.39 ;0.86 ;1.90 ;677,315.9 ;78.50
03/2021;4.39 ;0.93 ;2.23 ;734,202.3 ;77.20
04/2021;4.61 ;0.31 ;2.65 ;715,388.7 ;75.60
05/2021;4.61 ;0.83 ;3.29 ;710,978.0 ;77.30
06/2021;4.61 ;0.53 ;3.76 ;714,236.1 ;78.80
07/2021;4.88 ;0.96 ;4.15 ;744,158.2 ;79.50
08/2021;4.88 ;0.87 ;5.01 ;739,692.2 ;79.90
09/2021;4.88 ;1.16 ;5.43 ;731,334.1 ;81.30
10/2021;5.32 ;1.25 ;6.30 ;739,982.7 ;83.20
11/2021;5.32 ;0.95 ;7.65 ;755,731.3 ;82.80
12/2021;5.32 ;0.73 ;8.76 ;759,981.1 ;80.60
01/2022;6.08 ;0.54 ;9.15 ;742,147.6 ;78.90
Source;BCB-Demab;IBGE;BCB-Demab;BCB-Depec;FGV
