Ano;Trimestre;Categoria;Tipo;CNPJ IF;Instituição financeira;Índice;Quantidade de reclamações reguladas procedentes;Quantidade de reclamações reguladas - outras;Quantidade de reclamações não reguladas;Quantidade total de reclamações;Quantidade total de clientes – CCS e SCR;Quantidade de clientes – CCS;Quantidade de clientes – SCR
2021;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;ABC-BRASIL (conglomerado); ;2;0;3;5;33095;31565;4248
2021;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;13140088;ACESSO SOLUÇÕES DE PAGAMENTO S.A.;20,87;42;28;5;75;2011869;2011869; 
2021;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;AGIBANK (conglomerado);195,92;309;334;76;719;1577152;1224075;996638
2021;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;36321990;AGORACRED S/A SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO; ;2;2;1;5;473823;130;473693
2021;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;27214112;AL5 S.A. CRÉDITO, FINANCIAMENTO E INVESTIMENTO; ;2;5;5;12;23421;13123;14355
2021;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;ALFA (conglomerado); ;16;54;12;82;422572;268328;155393
2021;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;ANDBANK (conglomerado); ;0;2;2;4;4376;4376;37
2021;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;19540550;ASAAS GESTÃO FINANCEIRA INSTITUIÇÃO DE PAGAMENTO S.A.; ;0;3;1;4;249654;249654; 
2021;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;3532415;BANCO ABN AMRO S.A.; ;0;0;2;2;26;26;1
2021;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;54403563;BANCO ARBI S.A.; ;8;14;2;24;38372;30210;8698
2021;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;33132044;BANCO CEDULA S.A.; ;2;0;0;2;18016;2809;15432
2021;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;2992446;BANCO CNH INDUSTRIAL CAPITAL S.A.; ;0;1;0;1;28397;1230;27318
2021;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;8357240;BANCO CSF S.A.;13,88;102;99;60;261;7348002; ;7348002
2021;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;4902979;BANCO DA AMAZONIA S.A.; ;1;3;4;8;556710;480440;194083
2021;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;10690848;BANCO DA CHINA BRASIL S.A.; ;0;1;0;1;528;503;41
2021;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;5040481;BANCO DE LAGE LANDEN BRASIL S.A.; ;0;1;0;1;34810;3;34808
2021;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;92874270;BANCO DIGIMAIS S.A.;444,9;202;29;55;286;454034;302771;209881
2021;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;27098060;BANCO DIGIO S.A.;67,4;133;97;44;274;1973142;1349497;1500737
2021;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;13009717;BANCO DO ESTADO DE SERGIPE S.A.; ;29;30;19;78;1094338;827042;642079
2021;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;4913711;BANCO DO ESTADO DO PARÁ S.A.;33,51;31;21;21;73;924951;801524;412094
2021;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;7237373;BANCO DO NORDESTE DO BRASIL S.A.; ;5;34;26;65;8967632;8384030;3314376
2021;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;58616418;BANCO FIBRA S.A.; ;1;2;0;3;164195;4262;160535
2021;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;31880826;BANCO GUANABARA S.A.; ;1;0;0;1;2296;2240;378
2021;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;53518684;BANCO HSBC S.A.; ;0;3;3;6;3331;3318;71
2021;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;4866275;BANCO INBURSA S.A.; ;10;18;6;34;19313;9;19304
2021;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;23903068;BANCO KOMATSU DO BRASIL S.A.; ;0;1;0;1;726;716;700
